Month,Day,Hebrew Day,Layer 10,Layer 11,Layer 12,General
,,,שכבת י',"שכבת י""א","שכבת י""ב",כללי
ספט,1.0,א,"פתיחת שנת הלימודים תשפ""ה",,,
ספט,2.0,ב,,,,
ספט,3.0,ג,,מבחן מעבר באנגלית,,
ספט,4.0,ד,,,הכנה לפולין,
ספט,5.0,ה,,,הכנה לפולין,
ספט,6.0,ו,,,,
ספט,7.0,ש,,,,
ספט,8.0,א,,,הכנה לפולין,
ספט,9.0,ב,,,הכנה לפולין,
ספט,10.0,ג,,,הכנה לפולין - מכון משואה,ישיבת רכזים
ספט,11.0,ד,,,,
ספט,12.0,ה,,,,
ספט,13.0,ו,,,,
ספט,14.0,ש,,,,
ספט,15.0,א,,,הכנה לפולין,
ספט,16.0,ב,מבחן מעבר במתמטיקה,,יום שיא מנהיגות ,
ספט,17.0,ג,  ,מבחן במתמטיקה,"הכנה לפולין
",מליאת מורים
ספט,18.0,ד,,,"הכנה לפולין
מסע לפולין - מפגש הורים
",
ספט,19.0,ה,,,אנדרואיד - מבחן,
ספט,20.0,ו,,,,
ספט,21.0,ש,,,,
ספט,22.0,א,"חשיפה למרכזי בתי נוער
שוחרים - שיחת מפקד
אסיפת הורים",חשיפה למרכזי בתי נוער,הכנה לפולין,
ספט,23.0,ב,,,"מסע לפולין
פעילות הסברה - קצין מלשכת הגיוס",
ספט,24.0,ג,הצגה - צו פינוי (מעורבות חברתית),הצגה - צו פינוי (מעורבות חברתית),"אנדרואיד - מבחן
מסע לפולין","ישיבות ידוע
השתלמות מוסדית "
ספט,25.0,ד,צילומים למשוב,,"מסע לפולין
",
ספט,26.0,ה,,,מסע לפולין,
ספט,27.0,ו,,,מסע לפולין,
ספט,28.0,ש,,,מסע לפולין,
ספט,29.0,א,,הכנה לצו ראשון ,מסע לפולין,
ספט,30.0,ב,"צילומים למשוב
",,מסע לפולין,"ערב להורי י""א בנושא צו ראשון"
אוקטובר,1.0,ג,,,יום מכינות,
אוקטובר,2.0,ד,ערב ראש השנה,ערב ראש השנה,ערב ראש השנה,ערב ראש השנה
אוקטובר,3.0,ה,ראש השנה,ראש השנה,ראש השנה,ראש השנה
אוקטובר,4.0,ו,ראש השנה,ראש השנה,ראש השנה,ראש השנה
אוקטובר,5.0,ש,,,,
אוקטובר,6.0,א,,,,צום גדליה
אוקטובר,7.0,ב,,,,ציון יום השנה ל-7.10
אוקטובר,8.0,ג,,,,ישיבת רכזי מקצוע
אוקטובר,9.0,ד,השבעה - שוחרים,,,
אוקטובר,10.0,ה,,"יא6, יא8, יא11 - לומדת דפ''ר",,
אוקטובר,11.0,ו,ערב יום הכיפורים,ערב יום הכיפורים,ערב יום הכיפורים,ערב יום הכיפורים
אוקטובר,12.0,ש,יום הכיפורים,יום הכיפורים,יום הכיפורים,יום הכיפורים
אוקטובר,13.0,א,,,,
אוקטובר,14.0,ב,,,,
אוקטובר,15.0,ג,,,,
אוקטובר,16.0,ד,ערב סוכות,ערב סוכות,ערב סוכות,ערב סוכות
אוקטובר,17.0,ה,חג סוכות,חג סוכות,חג סוכות,חג סוכות
אוקטובר,18.0,ו,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
אוקטובר,19.0,ש,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
אוקטובר,20.0,א,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
אוקטובר,21.0,ב,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
אוקטובר,22.0,ג,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
אוקטובר,23.0,ד,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
אוקטובר,24.0,ה,שמחת תורה,שמחת תורה,שמחת תורה,שמחת תורה
אוקטובר,25.0,ו,,,,אסרו חג סוכות
אוקטובר,26.0,ש,,,,
אוק,27.0,א,טקס ציון יום השנה ל-7.10,טקס ציון יום השנה ל-7.10,טקס ציון יום השנה ל-7.10,טקס ציון יום השנה ל-7.10
אוק,28.0,ב,מבחן באנגלית - י6,,מבחן באנגלית,
אוק,29.0,ג,י3 - מבחן באלקטרוניקה,מבחן בתנך,,
אוק,30.0,ד,"י3 שוחרים - סיור לבסיס תל נוף
י9 - מבחן באנגלית","יא8 - מבחן בתנך
",,
אוק,31.0,ה,"אנגלית - הרצאה עם שגרירות ארה''ב
מבחן באנגלית - י1,2,3,4,5,7","אנגלית - הרצאה עם שגרירות ארה''ב
יא6 - מבחן באנגלית",,
נובמבר,1.0,ו,"י8, י6 - מבחן באנגלית",,,
נובמבר,2.0,ש,,,,
נובמבר,3.0,א,המירוץ הישראלי לדגל,"סימולטור נהיגה
יא8 - מבחן באנגלית","מבחן בכימיה, ביולוגיה, פיזיקה
יב11 - מבחן באנגלית",
נובמבר,4.0,ב,,הכנה לצו ראשון,יב8 - מבחן באנגלית,
נובמבר,5.0,ג,,"מבחן בלשון 
",,השתלמות מוסדית 
נובמבר,6.0,ד,חשיפה למקומות השמה,,מבחן באזרחות,
נובמבר,7.0,ה,"מבחן מגמות - דיפלומטיה, מדמ""ח",מבחן באנגלית + יא6,,
נובמבר,8.0,ו,,יא11 - מבחן באנגלית,,
נובמבר,9.0,ש,,,,
