,,,,,,
,,,"לוח מבחנים ואירועים תשפ""ה",,,
,,,,,,
,,,שכבת י',"שכבת י""א","שכבת י""ב",כללי
ספט,1,א,"פתיחת שנת הלימודים תשפ""ה",,,
,2,ב,,,,
,3,ג,,מבחן מעבר באנגלית,,
,4,ד,,,הכנה לפולין,
,5,ה,,,הכנה לפולין,
,6,ו,,,,
,7,ש,,,,
ספט,8,א,,,הכנה לפולין,
,9,ב,,,הכנה לפולין,
,10,ג,,,הכנה לפולין - מכון משואה,ישיבת רכזים
,11,ד,,,,
,12,ה,,,,
,13,ו,,,,
,14,ש,,,,
ספט,15,א,,,הכנה לפולין,
,16,ב,מבחן מעבר במתמטיקה,,יום שיא מנהיגות ,
,17,ג,  ,מבחן במתמטיקה,"הכנה לפולין
",מליאת מורים
,18,ד,,,"הכנה לפולין
מסע לפולין - מפגש הורים
",
,19,ה,,,אנדרואיד - מבחן,
,20,ו,,,,
,21,ש,,,,
ספט,22,א,"חשיפה למרכזי בתי נוער
שוחרים - שיחת מפקד
אסיפת הורים",חשיפה למרכזי בתי נוער,הכנה לפולין,
,23,ב,,,"מסע לפולין
פעילות הסברה - קצין מלשכת הגיוס",
,24,ג,הצגה - צו פינוי (מעורבות חברתית),הצגה - צו פינוי (מעורבות חברתית),"אנדרואיד - מבחן
מסע לפולין","ישיבות ידוע
השתלמות מוסדית "
,25,ד,צילומים למשוב,,"מסע לפולין
",
,26,ה,,,מסע לפולין,
,27,ו,,,מסע לפולין,
,28,ש,,,מסע לפולין,
ספט,29,א,,הכנה לצו ראשון ,מסע לפולין,
,30,ב,"צילומים למשוב
",,מסע לפולין,"ערב להורי י""א בנושא צו ראשון"
אוקטובר,1,ג,,,יום מכינות,
,2,ד,ערב ראש השנה,ערב ראש השנה,ערב ראש השנה,ערב ראש השנה
,3,ה,ראש השנה,ראש השנה,ראש השנה,ראש השנה
,4,ו,ראש השנה,ראש השנה,ראש השנה,ראש השנה
,5,ש,,,,
אוקטובר,6,א,,,,צום גדליה
,7,ב,,,,ציון יום השנה ל-7.10
,8,ג,,,,ישיבת רכזי מקצוע
,9,ד,השבעה - שוחרים,,,
,10,ה,,"יא6, יא8, יא11 - לומדת דפ''ר",,
,11,ו,ערב יום הכיפורים,ערב יום הכיפורים,ערב יום הכיפורים,ערב יום הכיפורים
,12,ש,יום הכיפורים,יום הכיפורים,יום הכיפורים,יום הכיפורים
אוקטובר,13,א,,,,
,14,ב,,,,
,15,ג,,,,
,16,ד,ערב סוכות,ערב סוכות,ערב סוכות,ערב סוכות
,17,ה,חג סוכות,חג סוכות,חג סוכות,חג סוכות
,18,ו,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
,19,ש,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
אוקטובר,20,א,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
,21,ב,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
,22,ג,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
,23,ד,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות,חול המועד סוכות
,24,ה,שמחת תורה,שמחת תורה,שמחת תורה,שמחת תורה
,25,ו,,,,אסרו חג סוכות
,26,ש,,,,
אוק,27,א,טקס ציון יום השנה ל-7.10,טקס ציון יום השנה ל-7.10,טקס ציון יום השנה ל-7.10,טקס ציון יום השנה ל-7.10
,28,ב,מבחן באנגלית - י6,,מבחן באנגלית,
,29,ג,י3 - מבחן באלקטרוניקה,מבחן בתנך,,
,30,ד,"י3 שוחרים - סיור לבסיס תל נוף
י9 - מבחן באנגלית","יא8 - מבחן בתנך
",,
,31,ה,"אנגלית - הרצאה עם שגרירות ארה''ב
מבחן באנגלית - י1,2,3,4,5,7","אנגלית - הרצאה עם שגרירות ארה''ב
יא6 - מבחן באנגלית",,
נובמבר,1,ו,"י8, י6 - מבחן באנגלית",,,
,2,ש,,,,
נובמבר,3,א,המירוץ הישראלי לדגל,"סימולטור נהיגה
יא8 - מבחן באנגלית","מבחן בכימיה, ביולוגיה, פיזיקה
יב11 - מבחן באנגלית",
,4,ב,,הכנה לצו ראשון,יב8 - מבחן באנגלית,
,5,ג,,"מבחן בלשון 
",,השתלמות מוסדית 
,6,ד,חשיפה למקומות השמה,,מבחן באזרחות,
,7,ה,"מבחן מגמות - דיפלומטיה, מדמ""ח",מבחן באנגלית + יא6,,
,8,ו,,יא11 - מבחן באנגלית,,
,9,ש,,,,
נובמבר,10,א,מופע - הרצל בא לבקר,"יא8 - מבחן בהיסטוריה
מבחן מגמות - שפת C ואלקטרוניקה, ניהול התפעול, ביוטכנולוגיה, מדמ""ח, גאוגרפיה, תקשורת, מנהל וכלכלה, דיפלומטיה",יב11 - מבחן בגאוגרפיה,
,11,ב,,,,
,12,ג,"י8, י9 מבחן בהיסטוריה",יא8 גאוגרפיה - הרצאה + סיור,מגמת גאוגרפיה - הרצאה + סיור,השתלמות מוסדית 
,13,ד,,,מבחן במתמטיקה,"יום הזכרון לרצח יצחק רבין ז""ל"
,14,ה,,מבחן במתמטיקה,,
,15,ו,מבחן במתמטיקה,,יב8 - מבחן במתמטיקה,
,16,ש,,,,
נובמבר,17,א,"משה טבשי - נצחון החיים
מגמת ניהול עסקי + י6 - סיור
י3 - מבחן בשפת C, 
מבחן מגמות - ביוטכנולוגיה",מבחן בהיסטוריה,"יב6, יב8 - גאוגרפיה - סיור",
,18,ב,,סימולטור נהיגה,"מבחן מגמות - ניהול הייצור, פסיכולוגיה, ביוטכנולוגיה פרויקט",
,19,ג,מבחן בהיסטוריה,"מבחן מגמות - ביולוגיה, כימיה, פיזיקה",יב6 - מבחן בהיסטוריה,השתלמות מוסדית 
,20,ד,,סדנה - לקראת שירות,,
,21,ה,י3 - מבחן במיתוג ומערכות ספרתיות,,סינמה דרייב,
,22,ו,,,,
,23,ש,,,,
נובמבר,24,א,מבחן באנגלית,מבחן באנגלית,מבחן בספרות,
,25,ב,"מגמת תע""נ - עמידה מול קהל","מגמת תע""נ - עמידה מול קהל","מגמת תע""נ - עמידה מול קהל",
,26,ג,י3 - מבחן באלקטרוניקה,"מבחן מגמות - בסייבר/אנדרואיד, מבחן בסוציולוגיה, גאוגרפיה, דיפלומטיה",,
,27,ד,,"יא11+יא6 - מבחן באנגלית
מגמות - ביוטכנולוגיה, ניהול התפעול",,סדנה למניעת הטרדה מינית
,28,ה,,,מבחן באנגלית,חג הסיגד
,29,ו,י6 - מבחן באנגלית,,,
,30,ש,,,,
דצמבר,1,א,עולמו של העיור,מבחן בתנך,,שבוע זכויות לאנשים עם מוגבלויות
,2,ב,"י8, י9 - מבחן בגאוגרפיה",יא8 - מבחן בתנך,,
,3,ג,,צו בצוותא בוגרים,,השתלמות מוסדית 
,4,ד,מבחן בתנך,"מבחן מגמות - ביוטכנולוגיה מעבדה, מדמ""ח, מנהל וכלכלה
יא3 - מבחן בשפת C + אלקטרוניקה",מבחן באזרחות,
,5,ה,,עולמו של העיור,,
,6,ו,,יא8 - מבחן בגאוגרפיה,,
,7,ש,,,,
